+1 1:179.0 2:136.0 3:118.0 4:136.0 5:152.0 6:125.0 7:67.0 8:136.0 9:136.0 10:103.0 11:113.0 12:128.0 13:102.0 14:116.0 15:182.0 16:177.0
+1 1:89.0 2:46.0 3:47.0 4:59.0 5:55.0 6:41.0 7:26.0 8:41.0 9:59.0 10:29.0 11:36.0 12:37.0 13:38.0 14:47.0 15:52.0 16:70.0
+1 1:159.0 2:69.0 3:92.0 4:70.0 5:82.0 6:36.0 7:46.0 8:48.0 9:106.0 10:62.0 11:53.0 12:32.0 13:42.0 14:45.0 15:63.0 16:32.0
+1 1:40.0 2:32.0 3:24.0 4:20.0 5:29.0 6:17.0 7:19.0 8:30.0 9:23.0 10:25.0 11:17.0 12:20.0 13:24.0 14:21.0 15:25.0 16:31.0
+1 1:77.0 2:64.0 3:37.0 4:41.0 5:63.0 6:47.0 7:34.0 8:66.0 9:35.0 10:43.0 11:37.0 12:52.0 13:43.0 14:56.0 15:60.0 16:82.0
+1 1:41.0 2:25.0 3:23.0 4:34.0 5:27.0 6:13.0 7:16.0 8:14.0 9:32.0 10:15.0 11:10.0 12:18.0 13:23.0 14:17.0 15:26.0 16:28.0
+1 1:14.0 2:16.0 3:6.0 4:29.0 5:20.0 6:20.0 7:13.0 8:20.0 9:12.0 10:13.0 11:12.0 12:16.0 13:18.0 14:24.0 15:23.0 16:55.0
+1 1:71.0 2:61.0 3:53.0 4:61.0 5:67.0 6:53.0 7:36.0 8:70.0 9:66.0 10:40.0 11:51.0 12:70.0 13:42.0 14:72.0 15:87.0 16:81.0
+1 1:29.0 2:54.0 3:29.0 4:37.0 5:54.0 6:32.0 7:20.0 8:35.0 9:28.0 10:22.0 11:13.0 12:24.0 13:37.0 14:33.0 15:26.0 16:27.0
+1 1:76.0 2:32.0 3:52.0 4:62.0 5:44.0 6:17.0 7:28.0 8:30.0 9:59.0 10:33.0 11:58.0 12:47.0 13:43.0 14:37.0 15:59.0 16:48.0
+1 1:173.0 2:83.0 3:92.0 4:98.0 5:91.0 6:48.0 7:42.0 8:73.0 9:108.0 10:56.0 11:34.0 12:45.0 13:73.0 14:67.0 15:76.0 16:82.0
+1 1:22.0 2:22.0 3:19.0 4:31.0 5:29.0 6:12.0 7:12.0 8:21.0 9:20.0 10:13.0 11:10.0 12:11.0 13:23.0 14:27.0 15:13.0 16:59.0
+1 1:68.0 2:63.0 3:60.0 4:48.0 5:52.0 6:45.0 7:44.0 8:58.0 9:73.0 10:44.0 11:40.0 12:32.0 13:45.0 14:47.0 15:46.0 16:45.0
+1 1:90.0 2:78.0 3:91.0 4:87.0 5:98.0 6:47.0 7:55.0 8:54.0 9:109.0 10:79.0 11:85.0 12:69.0 13:48.0 14:50.0 15:112.0 16:80.0
+1 1:46.0 2:31.0 3:26.0 4:46.0 5:41.0 6:46.0 7:18.0 8:126.0 9:28.0 10:64.0 11:24.0 12:27.0 13:33.0 14:90.0 15:76.0 16:73.0
+1 1:91.0 2:80.0 3:72.0 4:65.0 5:77.0 6:47.0 7:49.0 8:56.0 9:76.0 10:58.0 11:72.0 12:56.0 13:64.0 14:44.0 15:69.0 16:44.0
